City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,college,64.8569,-147.8028,0.8100000000000023,74,75,0.45,US,2024-04-08
126,santana,-0.0583,-51.1817,31.100000000000023,70,40,5.14,BR,2024-04-08
127,lalibela,12.0333,39.0333,20.680000000000007,54,90,1.58,ET,2024-04-08
128,kaohsiung,22.6163,120.3133,25.970000000000027,83,20,3.6,TW,2024-04-08
129,taro,-8.3862,115.28,23.0,97,39,0.84,ID,2024-04-08
130,novodvinsk,64.4165,40.8122,-1.1399999999999864,93,100,1.08,RU,2024-04-08
131,palu,-0.8917,119.8707,24.910000000000025,98,100,1.76,ID,2024-04-08
132,bilibino,68.0546,166.4372,-19.95999999999998,97,82,1.14,RU,2024-04-08
133,bongor,10.2806,15.3722,34.27000000000004,29,96,1.93,TD,2024-04-08
134,tsuma,32.1,131.4,16.970000000000027,98,100,0.59,JP,2024-04-08
135,aberdeen,57.1437,-2.0981,9.189999999999998,93,100,2.57,GB,2024-04-08
136,castillos,-34.1667,-53.8333,21.650000000000034,79,56,3.32,UY,2024-04-08
137,utrik,11.2278,169.8474,26.660000000000025,84,100,10.25,MH,2024-04-08
138,hermanus,-34.4187,19.2345,15.450000000000045,91,100,6.65,ZA,2024-04-08
139,opuwo,-18.0607,13.84,20.910000000000025,39,15,2.48,NA,2024-04-08
140,iqaluit,63.7506,-68.5145,-12.149999999999977,66,0,8.75,CA,2024-04-08
141,beterou,9.1992,2.2586,30.629999999999995,52,97,1.65,BJ,2024-04-08
142,west island,-12.1568,96.8225,27.99000000000001,74,75,4.63,CC,2024-04-08
143,ujae,8.9322,165.7642,27.600000000000023,79,100,9.34,MH,2024-04-08
144,powell river,49.8496,-124.5361,9.550000000000011,87,100,9.26,CA,2024-04-08
145,lazaro cardenas,17.9583,-102.2,28.03000000000003,56,9,4.85,MX,2024-04-08
146,upata,8.0086,-62.3989,36.26000000000005,22,71,3.25,VE,2024-04-08
147,yamba,-5.9,22.3,21.600000000000023,96,92,0.35,CD,2024-04-08
148,arraial do cabo,-22.9661,-42.0278,27.980000000000018,69,0,6.69,BR,2024-04-08
149,itamaraca,-7.7478,-34.8256,30.03000000000003,72,99,3.18,BR,2024-04-08
150,richards bay,-28.783,32.0377,20.430000000000007,90,100,6.37,ZA,2024-04-08
151,sovetskaya gavan',48.9723,140.2878,-2.159999999999968,56,39,3.31,RU,2024-04-08
152,naama,33.2667,-0.3167,18.629999999999995,33,65,11.54,DZ,2024-04-08
153,nyiradony,47.6975,21.9188,15.680000000000007,64,100,2.47,HU,2024-04-08
154,mpwapwa,-6.35,36.4833,18.629999999999995,97,99,1.62,TZ,2024-04-08
155,port mathurin,-19.6833,63.4167,26.78000000000003,81,21,4.63,MU,2024-04-08
156,whangarei,-35.7317,174.3239,16.110000000000014,91,21,0.84,NZ,2024-04-08
157,flin flon,54.7682,-101.865,11.910000000000025,35,20,2.57,CA,2024-04-08
158,portage la prairie,49.9728,-98.2926,10.050000000000011,57,100,2.06,CA,2024-04-08
159,dudinka,69.4058,86.1778,-7.399999999999977,96,100,5.81,RU,2024-04-08
160,east london,-33.0153,27.9116,20.55000000000001,83,90,3.93,ZA,2024-04-08
161,punta arenas,-53.15,-70.9167,6.010000000000048,56,20,11.83,CL,2024-04-08
162,petropavlovsk-kamchatsky,53.0452,158.6483,2.4700000000000273,82,75,1.0,RU,2024-04-08
163,cumbal,0.9088,-77.7915,13.060000000000002,77,75,6.17,CO,2024-04-08
164,dubbo,-32.25,148.6167,9.07000000000005,100,99,0.0,AU,2024-04-08
165,jiuquan,39.7432,98.5174,11.03000000000003,16,100,2.91,CN,2024-04-08
166,vorgashor,67.5833,63.95,-23.99999999999997,100,48,2.07,RU,2024-04-08
167,saipan,15.1355,145.701,27.390000000000043,83,40,4.63,MP,2024-04-08
168,arteche,12.2645,125.4048,25.07000000000005,90,27,2.14,PH,2024-04-08
169,enewetak,11.3474,162.3373,27.400000000000034,78,100,8.88,MH,2024-04-08
170,lebu,-37.6167,-73.65,14.260000000000048,90,92,6.55,CL,2024-04-08
171,chadan,51.2833,91.5833,4.590000000000032,69,2,2.42,RU,2024-04-08
172,borogontsy,62.6683,131.1683,-7.229999999999961,97,100,1.24,RU,2024-04-08
173,totness,5.8833,-56.3167,29.060000000000002,66,8,5.3,SR,2024-04-08
174,gallup,35.5281,-108.7426,9.910000000000025,22,20,3.09,US,2024-04-08
175,portoferraio,42.8115,10.3146,17.760000000000048,47,100,5.66,IT,2024-04-08
176,kapa'a,22.0752,-159.319,25.99000000000001,74,75,6.69,US,2024-04-08
177,nuuk,64.1835,-51.7216,-1.6599999999999682,74,20,4.12,GL,2024-04-08
178,cidreira,-30.1811,-50.2056,23.74000000000001,81,90,1.43,BR,2024-04-08
179,flying fish cove,-10.4217,105.6791,26.82000000000005,78,75,4.12,CX,2024-04-08
180,sirte,31.2089,16.5887,18.189999999999998,78,0,5.95,LY,2024-04-08
181,kargopol',61.5071,38.9456,2.160000000000025,98,100,2.26,RU,2024-04-08
